_id,user_name,option,score,review
658b86e6c0fdbb4a60373e66,cast****,"선택 옵션 상품선택:★BEST★더워요 요리보단 바로한끼 밥용기,색상선택:[2세트] 450ml 총 4P(LLG504S2)",5,좋은제품 저렴하게 잘 구입했습니다 감사합니다 
658b86e6c0fdbb4a60373e67,smch**,"선택 옵션 상품선택:속이 보이는 전자레인지용기,색상선택:2개 구성 라면용기 1.1L(LMW105)",4,아직 사용전이고 1+1이어서 전자렌지 사용 가능한 라면 용기 구매 하였습니다.\n라면 돌려서 먹어보고 후기 업데이트 하겠습니다.\n(사용 업데이트)\n일단 진라면 한개에 뜨거운물 붓고 전자렌지에 4분 돌렸는데 한강 라면 필 납니다.\n잘사용하겠습니다.
658b86e6c0fdbb4a60373e68,subu****,선택 옵션 락앤락 렌지락 덮밥용기1.1L(LMW103),5,렌지용기로 아주좋아요 색깔도 주황이라 빨강국물요리뎁혀먹을때 색안배서 좋아요!
658b86e6c0fdbb4a60373e69,subu****,선택 옵션 락앤락 렌지락 찜용기2.4L (LMW107),5,렌지용기로 아주좋아요 색깔도 주황이라 빨강국물요리뎁혀먹을때 색안배서 좋아요!
658b86e6c0fdbb4a60373e6a,bsg6*****,"선택 옵션 상품선택:속이 보이는 전자레인지용기,색상선택:2개 구성 라면용기 1.1L(LMW105)",5,안전하고 빠른 배송으로 잘받았습니다.
658b86e6c0fdbb4a60373e6b,coto**,"선택 옵션 상품선택:[2개] 칸칸이 밀폐유리용기,색상선택:3칸 직사각 1040ml (LLG458)",5,튼튼하고 무거워요 물이 새지않아요
658b86e6c0fdbb4a60373e6c,susp***,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:핑크 1.5L+그레이 2L(96624)",5,저렴한 가격에 잘 구입했어요 만족합니다 ㅎㅎ 
658b86e6c0fdbb4a60373e6d,휵아아아,"선택 옵션 상품선택:★BEST★ 바로한끼 도자기밥용기,색상선택:[3SET] 250ML 2P (SLB301S2)",5,지인집에서 사용하는거보고 구매했습니다. 냉동실에 넣었다 꺼내도 뚜껑 열기 편하고 ？습니다. 사이즈도 다양해서 다이어터는 작은 용량으로 먹으니 딱 좋습니다. 
658b86e6c0fdbb4a60373e6e,choo******,"선택 옵션 상품선택:간편식글라스_납작용기650ml(LLG482),색상선택:화이트",5,전자레인지용으로 구매했어요. 볶음밥 해두면 아이들이 데워먹게 하려고 2개 구메했네요.  무겁긴 하지만 애들이 크니 이런 것도 좋으네요. 뚜껑은 플라스틱 종류에요
658b86e7c0fdbb4a60373e6f,zzz5***,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:핑크 1.5L+그레이 2L(96624)",4,전자렌지용 그릇으로 샀는데 잘쓸거 같아요 \n유리가 두꺼운게 더 맘에 듭니다
658b86e7c0fdbb4a60373e70,jine*****,"선택 옵션 상품선택:햇쌀밥용기 300ml 2P,색상선택:(P-1120)",5,제품깔끔하니 넘좋아요\n사진은 써비스 보내주신거구요\n세척솔은 두개 하나는 친구줬어요\n상품평 귀찮 안하는스탈 \n써비스감동해서 올리네요\n번창하세요
658b86e7c0fdbb4a60373e71,yunt***,"선택 옵션 상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:그린 1L+핑크 1.5L(96622)",4,이 가격에 두가지 용량으로 너무 만족 하네요.유리라서 확실히 무겁긴 하지만.디자이도 예쁘고 실리콘 손잡이도 있어 좋아요.
658b86e7c0fdbb4a60373e72,jim0***,"선택 옵션 상품선택:★BEST★ 가성비 피앤큐 햇쌀밥 용기,색상선택:[6SET] 300ML 총 12P(P-1120)",5,기존에 오래 사용해서 다 버리고 새로 구입했어요.\n신랑이 왜 이렇게 앙증 맞냐고 했는데 그래도 밥양이 꽤 들어가네요.한끼에 먹기 너무 좋아요
658b86e7c0fdbb4a60373e73,gree*******,"선택 옵션 상품선택:락앤락 렌지락 라면용기1.1L(LMW105),색상선택:오렌지",5,"처음에큰거구입하고,너무좋아적은거2개구입했네요~~^^정말편하고,유용하게잘쓰고있어요~~절대후회없을거예요"
658b8783a612b42ddd93baa5,호밀빵좋아,"상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:그린 1L+핑크 1.5L(96622)",5,제겐 꼭필요한 용기입니다\n효빵도 좋아하고 냉동해둔 떡 데울때도\n넘 좋아요 촉촉하게 잘 쪄져요
658b8783a612b42ddd93baa6,yims******,"상품선택:★BEST★ 꾸준인기템 햇쌀밥용기,색상선택:320ML 3P+410ML 2P(47974)",5,햇반용도좋지만 반찬통이나 보관용도로 좋아요\n전자렌지사용 너무 편해요
658b8783a612b42ddd93baa7,mysu******,"상품선택:[2개] 오븐/전자레인지 유리냄비,색상선택:그레이 2L (LLG486)",5,생각했던 딱사이즈라 마음에 들어요
658b8783a612b42ddd93baa8,anas******,"상품선택:★BEST★ 꾸준인기템 햇쌀밥용기,색상선택:320ML 3P+410ML 2P(47974)",5,환경호르몬생각해서 유리로구매했어요\n렌지에돌려도 걱정이좀 덜 되네요
658b8783a612b42ddd93baa9,ksd7***,락앤락 렌지락 덮밥용기1.1L(LMW103),5,아이들이 사용해보고 좋을것 같아요
658b8783a612b42ddd93baaa,anas******,"상품선택:★BEST★ 꾸준인기템 햇쌀밥용기,색상선택:[1SET] 320ml 총 3입(LLG501S3)",5,행사해서 저렴하게구매했어요\n플라스틱환경호르몬땜에 유리로구매했어요
658b8783a612b42ddd93baab,hoho****,"상품선택:★BEST★ 바로한끼 도자기밥용기,색상선택:[3SET] 450ML 2P(SLB303S2)",5,좋은 가격으로 잘 구매했어요~~
